Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,Extent,Perimeter,Class
87524,442.2460114,253.29115499999997,0.819738392,90546,0.7586505790000001,1184.04,Kecimen
75166,406.690687,243.0324363,0.801805234,78789,0.68412957,1121.786,Kecimen
90856,442.2670483,266.32831769999996,0.798353619,93717,0.6376128120000001,1208.575,Kecimen
45928,286.5405586,208.7600423,0.684989217,47336,0.699599385,844.1619999999999,Kecimen
79408,352.19076989999996,290.8275329,0.56401133,81463,0.7927719259999999,1073.251,Kecimen
49242,318.125407,200.12212,0.7773512770000001,51368,0.658456354,881.836,Kecimen
42492,310.1460715,176.1314494,0.8230986809999999,43904,0.665893562,823.796,Kecimen
60952,332.4554716,235.429835,0.7060575179999999,62329,0.74359819,933.3660000000001,Kecimen
42256,323.18960719999995,172.5759261,0.8454987890000001,44743,0.6980309240000001,849.7280000000001,Kecimen
64380,366.9648423,227.7716147,0.7840556259999999,66125,0.664375716,981.544,Kecimen
80437,449.45458110000004,232.32550640000002,0.856042518,84460,0.674235757,1176.305,Kecimen
43725,301.32221760000004,186.9506295,0.784258452,45021,0.697068248,818.873,Kecimen
43441,276.61082880000004,201.8131355,0.683882337,45133,0.690855598,803.748,Kecimen
76792,338.8575454,291.35920169999997,0.510583813,78842,0.772322237,1042.77,Kecimen
74167,387.7989307,247.85812280000002,0.769089738,76807,0.680181585,1084.729,Kecimen
33565,261.55433109999996,167.7084908,0.767374275,35794,0.68155052,751.413,Kecimen
64670,403.0839752,206.4846437,0.858829168,66419,0.75677257,1028.445,Kecimen
64762,354.29393960000004,235.7524629,0.746473726,66713,0.694998015,981.5089999999999,Kecimen
43295,304.2844667,182.8110368,0.799406959,44714,0.7138381890000001,814.68,Kecimen
70699,418.6985723,216.5960537,0.855799392,72363,0.728075054,1061.3210000000001,Kecimen
69726,354.1769124,252.529208,0.701160962,71849,0.7343985340000001,1035.501,Kecimen
57346,330.4784385,222.4437485,0.739555027,59365,0.723608833,928.2719999999999,Kecimen
82028,397.11497589999993,268.3337727,0.737169367,84427,0.686375085,1106.355,Kecimen
61251,301.5077895,273.6599414,0.41975370700000003,64732,0.643595671,971.7689999999999,Kecimen
96277,447.13452249999995,275.2161542,0.788128405,97865,0.704057157,1181.921,Kecimen
75620,368.22428439999993,263.4592554,0.6986272509999999,77493,0.726277372,1059.1860000000001,Kecimen
73167,340.055218,276.0151772,0.58410581,74545,0.778736856,1010.4739999999999,Kecimen
60847,336.92386960000005,231.46569590000001,0.726660229,62492,0.69858783,964.6030000000001,Kecimen
81021,347.75005830000003,297.6406265,0.517134931,82552,0.757559607,1063.868,Kecimen
59902,358.5919148,222.90202730000001,0.783331958,63250,0.7441242240000001,982.788,Kecimen
88745,429.770355,265.6902361,0.7860094879999999,90715,0.7520635240000001,1162.877,Kecimen
41809,307.5327392,175.085568,0.822113695,43838,0.697444367,828.697,Kecimen
75329,364.2307798,265.86686349999997,0.683510499,77541,0.7230797290000001,1075.792,Kecimen
61600,350.1827545,225.8427713,0.764243075,63397,0.7468296109999999,972.472,Kecimen
46427,253.8420284,235.9068241,0.369212459,48275,0.684219059,844.312,Kecimen
40861,249.74022659999997,213.57327180000004,0.51832833,43096,0.743089401,784.9119999999999,Kecimen
55827,305.29884300000003,234.6612245,0.6396960770000001,57724,0.703287982,926.095,Kecimen
54182,366.0666742,192.013274,0.851391425,56450,0.611417674,968.7289999999999,Kecimen
77468,405.9365937,245.9897977,0.7954792409999999,79220,0.721545397,1100.6760000000002,Kecimen
49882,287.26432719999997,222.1858727,0.633851884,50880,0.766377827,843.7639999999999,Kecimen
95245,397.094114,307.2739224,0.633422315,97988,0.75304396,1201.39,Kecimen
71464,364.10308960000003,253.7969272,0.717025543,73265,0.7154842709999999,1036.94,Kecimen
77055,375.2501319,262.8124219,0.713783938,79255,0.732267077,1095.2830000000001,Kecimen
92384,368.40621380000005,320.7145792,0.492086934,93772,0.749006827,1135.662,Kecimen
77310,436.5298989,228.2803725,0.852367489,80138,0.631720869,1141.1889999999999,Kecimen
57580,330.22837480000004,232.05538719999998,0.7114745790000001,60232,0.645103465,992.1139999999999,Kecimen
69708,375.4472798,239.1327753,0.770923534,71321,0.727177893,1022.568,Kecimen
41502,260.5126753,205.86502380000002,0.612809911,43114,0.824319225,790.427,Kecimen
45800,330.0086832,181.6658648,0.834842987,47802,0.7326827709999999,870.387,Kecimen
52623,311.9967579,218.0411235,0.7152614,54175,0.6751905359999999,902.6239999999999,Kecimen
44939,317.6167119,183.31521469999998,0.816632082,46400,0.656177905,845.7860000000001,Kecimen
114648,508.12893260000004,288.9539812,0.8225707940000001,118314,0.681904966,1340.8970000000002,Kecimen
65727,403.19427169999994,210.0732642,0.853542978,67372,0.616981132,1030.155,Kecimen
45683,333.26253210000004,177.7720961,0.845844473,48787,0.634230657,901.102,Kecimen
111450,478.31097080000006,298.630592,0.781149506,113256,0.690092879,1298.188,Kecimen
47581,306.8118747,203.097502,0.7495382620000001,49203,0.667775392,861.58,Kecimen
57127,311.64457749999997,238.64192059999996,0.643138024,59943,0.6936255459999999,952.023,Kecimen
53006,333.3813698,206.8807081,0.784164747,55456,0.691695375,936.3710000000001,Kecimen
69060,328.4888612,275.8888648,0.542783247,72223,0.727023897,1039.5510000000002,Kecimen
25387,225.62954100000002,144.618672,0.7675773859999999,26139,0.6781440320000001,619.0740000000001,Kecimen
66774,348.5579747,246.4762569,0.7070822529999999,69097,0.6924464909999999,1003.3739999999999,Kecimen
47839,312.60132910000004,198.7512989,0.7718554959999999,50166,0.7027705959999999,868.06,Kecimen
78571,443.82229079999996,228.75761459999998,0.856934002,81718,0.6421927620000001,1157.33,Kecimen
64717,342.5767105,245.7320369,0.696759162,66649,0.66254095,997.9889999999999,Kecimen
60462,373.3428463,208.10862619999997,0.830230914,62213,0.6656831120000001,990.547,Kecimen
59370,345.9492049,221.92195669999998,0.7671338109999999,61464,0.697485902,981.5169999999999,Kecimen
54056,332.2676409,208.6190158,0.7783227620000001,55539,0.6745532590000001,912.153,Kecimen
89235,443.5159353,258.9467393,0.811861615,91201,0.655190643,1179.694,Kecimen
51727,321.1271422,208.76675749999998,0.759843328,52913,0.751889645,903.308,Kecimen
71595,387.30969510000006,236.7511846,0.791421357,74045,0.718536732,1069.77,Kecimen
95347,451.52615419999995,280.2261534,0.784111496,99256,0.674956111,1255.245,Kecimen
60449,383.8002498,208.1687832,0.840127895,64346,0.67634488,1054.198,Kecimen
69006,379.31784619999996,241.8502909,0.77037364,72895,0.697453002,1086.857,Kecimen
68520,373.235638,237.04152319999997,0.7724308740000001,70759,0.7128589259999999,1049.093,Kecimen
52731,309.97728639999997,219.72535249999999,0.70536589,54438,0.695879962,894.48,Kecimen
50570,311.34479510000006,208.3178983,0.74318078,51743,0.720863268,873.7769999999999,Kecimen
75825,391.20430130000005,248.5002712,0.772332349,77437,0.7453700059999999,1081.339,Kecimen
42637,293.4295802,189.43215759999998,0.763692969,44052,0.7251190479999999,814.182,Kecimen
76984,425.04818560000007,233.9734424,0.8348593390000001,78641,0.758754595,1091.754,Kecimen
47851,323.15251889999996,191.6109615,0.8052445770000001,49187,0.773237024,860.4019999999999,Kecimen
51220,328.6476055,202.5088754,0.787598712,52903,0.692470967,896.7280000000001,Kecimen
53890,331.0863197,216.5794558,0.7563665690000001,57109,0.7044444440000001,957.132,Kecimen
